,rank,name,location,total_rooms,starting_rate_dollar,hotel_ammenties,address,number
39,40,Le Bristol,Paris,190,3200.0," Swimming pool(s), spa/wellness centre, fitness centre, pet friendly, family friendly","112 Rue du Faubourg Saint-Honore, 75008 Paris, France",+33 1 53 43 43 00
40,41,Gleneagles,Auchterarder,232,700.0," Outdoor pursuits, swimming pool(s), spa/wellness centre, fitness centre, pet friendly, family friendly","Gleneagles Hotel, Auchterarder PH3 1NF, United Kingdom",+44 01764 449041
41,42,Castello di Reschio,Lisciano Niccone,36,1300.0," Swimming pool(s), Spa/wellness centre, Fitness centre, Family friendly, Horseriding","Tabaccaia di Reschio, 06060 Lisciano Niccone PG, Italy",+39 075 844362
42,43,Suján Jawai,Rajasthan,12,1200.0,Not Available,"Jawai Dam District, Pali Marwar, Rajasthan 306126, India",+91 11 4617 2700
43,44,Singita - Kruger National Park,Kruger National Park,23,1900.0," Game drives, nature walks, art galleries, yoga, swimming pool(s), spa/wellness centre, fitness centre","N'wanetsi River, Kruger National Park Mpumalanga, Kruger Park, 1350, South Africa",+27 21 683 3424
44,45,Six Senses Zighy Bay,Zaghi,82,1150.0," Swimming pool(s), Spa/wellness centre, Fitness centre, Family friendly, Beach","Zighy Bay Rd, Dibba Dib, Oman",+968 26 735555
45,46,The Connaught,London,122,1250.0," Swimming pool(s), cigar merchant, spa/wellness centre, fitness centre, pet friendly, family friendly","The Connaught, 16 Carlos Pl, London W1K 2AL, United Kingdom",+44 020 7499 7070
46,47,The Brando,Tetiaroa,35,800.0," Beach, Pool","Tetiaroa, Arue 98702, French Polynesia",+689 40 86 63 00
47,48,Hotel Esencia,Tulum,51,1100.0," Beach, tennis court, swimming pool(s), spa/wellness centre, fitness centre, pet friendly","77734 Quintana Roo, Mexico",+52 984 873 4830
48,49,The Tasman,Hobart,152,235.0," Fitness centre, Wine cellar, Meeting facilities","12 Murray St, Hobart TAS 7000, Australia",+61 3 6240 6000
49,50,Kokomo Private Island,Yaukuve Levu Island,26,3500.0," Swimming pool(s), Spa/wellness centre, Fitness centre, Family friendly, Beach, PADI Certified Marine Centre with 30 unique Diving spots, Fleet of 15 Boats","Yaukuve Levu Island, Fiji",+679 776 4441
